City:Avg Annual Temp:Record High Temperature :Record Low Temperature :Record Hottest Month / Avg Temp:Record Coldest Month / Avg Temp:Record Hottest Summer (Jun, Jul, Aug):Record Coldest Winter (Dec, Jan, Feb):Record Hottest Year / Avg Temp:Record Coldest Year / Avg Temp
Abilene:64.5:110, 7/17/1978:-7,  2/2/1985:89.2, 7/1980:33.8, 12/1983:89.3 / 2011:40.6 / 1978:67.5 / 2011:62.0 / 1976
Amarillo:57.2:111, 6/26/2011:-14, 2/1/1951:85.2, 7/2011:25.3, 12/1983:84.2 / 2011:32.2 / 1984:60.4 / 1954:54.9 / 1979
Austin:68.4:112, 8/28/2011:-2, 1/31/1949:91.6, 8/2011:38.6, 1/1940:89.5 / 2011:46.2 / 1979:72.0 / 2011:65.4 / 1940
Brownsville:73.9:106, 3/27/1984:15, 12/20/1901:87,5, 7/1980:51.8, 12/1989:86.9 / 1998:57.5 / 1964:76.0 / 2011:62.7 / 1983
Corpus Christi:71.9:107, 8/28/2011:13, 12/23/1989:87.9, 7/2009:48.0, 12/1989:86.8 / 2009:53.3 / 1984:73.5 / 1971:69.5 / 1968
Dallas/Ft. Worth:65.9:113, 8/18/1980:-1, 12/23/1989:93.4, 8/2011:33.8, 7/1978:90.6 / 2011:40.4 / 1905:68.5 / 1954:62.3 / 1903 
Del Rio:70.1:112, 6/9/1988:10, 12/23/1989:91.6, 7/1998:44.1, 1/1979:89.0 / 2011:48.5 / 1964:72.6 / 2011:67.4 / 1976
El Paso:64:114, 6/30/1994:-8, 1/11/1962:88.9, 6/1994:36.1, 1/1949:87.7 / 1994:40.9 / 1964:67.4 / 1994:61.3 / 1976
Galveston:70:102, 8/14/1999:14, 12/25/1983:88.5, 8/2011:45.3, 1/1978:87.2 / 2011:50.0 / 1978:71.9 / 1995:67.6 / 1979
Houston:69.6:109, 8/27/2011:9, 12/23/1989:90.4, 8/2011:43.4, 1/1978:87.2 / 2011:48.3 / 1978:72.4 / 2011:67.2 / 1979
Lubbock:60.2:114, 6/27/1994:-17, 2/8/1933:86.0, 8/2011:30.7, 1/1930:82.6 / 1980:37.0 / 1978:63.2 / 1934:56.9 / 1920
Midland- Odessa:63.6:116, 6/27/1994:-11, 2/2/1985:88.0, 8/2011:35.2, 1/1949:87.6 / 2011:41.2 / 1979:66.6 / 2011:61.4 / 1973
Pt Arthur Beaumont:68.7:107, 8/10/1962:12, 12/23/1989:86.1, 8/2011:43.7, 1/1978:86.1 / 2011:48.2 / 2010:70.6 / 2011:68.4 / 1976
San Angelo:65.4:111, 7/29/1960:-4, 12/23/1989:89.3, 8/2011:36.1, 1/1979:89.3 / 2011:42.3 / 1984:69.2 / 2011:62.9 / 1976
San Antonio:69:110, 8/28/2011:0, 1/31/1949:90.0, 8/2011:43.0, 12/1983:88.0 / 2011:47.7 / 1978:71.4 / 1954:66.4 / 1976
Victoria:70.3:109, 8/28/2011:9, 12/23/1989:89.5, 8/2011:45.2, 1/1978:87.3 / 2011:50.3 / 1978:72.5 / 2011:67.9 / 1979
Waco:67.1:112, 8/11/1969:-5, 1/31/1949:92.9, 8/2011:35.2, 1/1940:90.5 / 2011:42.4 / 1979:70.8 / 1933:63.6 / 1979
Wichita Falls:64:117, 6/28/1980:-12, 1/4/1947:93.4, 8/2011:30.1, 1/1978:91.9 / 2011:35.8 / 1978:67.6 / 1933:61.6 / 1983
